origin,target
18,NHK
180博斯無限Ⅱ,博斯无限二台
185EUROSPORT,EUROSPORT
186TRACESPORTSTARS,TRACESPORTS
187TRAVELCHANNEL,TRAVELCHANNEL
188EYETV旅遊,EYE旅游
189滾動力,ROLLOR
189靖天歡樂,靖天欢乐台
18.湖北生活-1080P,湖北生活
1905,1905环球经典
1905国内电影,1905极限反转
1905国内经典,1905极限反转
1905国外电影,1905环球经典
1905放映室,1905极限反转
190SMART知識,SMART知识
191采昌影劇,采昌影剧
192HBOHD,HBOHD
193HBOHITS,HBOHITS
194HBOSIGNATURE,HBOSIGNATURE
195HBOFAMILY,HBOFAMILY
196STARMOVIESHD,STARMOVIESHD
196WARNERTV,WARNERTV
197CINEMAWORLD,CINEMAWORLD
197星衛HD電影,星卫HD电影
198AMC最愛電影,AMC
198MYCINEMAEUROPE,MYCINEMAEUROPE
199WARNERTV,WARNERTV
19.CCTV-1综合-1080P,CCTV1
1.CCTV-1综合-1080P,CCTV1
200CATCHPLAY,CATCHPLAY电影
200HITS,HITS
201CINEMAWORLD,CINEMAWORLD
201影迷數位電影,影迷数位电影
202MYCINEMAEUROPE,MYCINEMAEUROPE
202壹電視電影,壹电视电影台
203龍華洋片,龙华洋片
204龍華經典,龙华经典
205天映經典,天映经典
207HITS,HITS
207美亞電影,美亚高清电影台
208壹電視電影,壹电视电影台
208靖天映畫,靖天映画
209影迷數位電影,影迷数位电影
209靖天電影,靖天电影台
20.CCTV-13新闻-1080P,CCTV13
210龍華電影,龙华电影
211八大優頻道,八大优
211美亞電影,美亚高清电影台
212靖天映畫,靖天映画
213靖天電影,靖天电影台
214TVBS精采台,TVBS精采台
215壹電視綜合,壹电视综合台
216三立綜合,三立综合台
217亞洲綜合,亚洲综合
218寰宇綜合,寰宇HD综合
219中天亞洲,中天亚洲台
21.CCTV-2财经-1080P,CCTV2
220ETTODAY綜合,ETTODAY
220靖天綜合,靖天综合台
221大愛2台,大爱二台
222,凤凰中文
222好消息2台,GOODTV2
224民視綜藝,民视综艺台
227ELTV英語學習,ELTV
227龍華影劇,龙华影剧
228華藝影劇,华艺影剧
22.CCTV-3综艺-1080P,CCTV3
230滾動力,ROLLOR
231I-FUN動漫,IFUN1
232八大優頻道,八大优
232曼迪日本,曼迪日本
233八大精彩,八大优
234龍華動畫,龙华动画
235華藝MBC綜合,华艺MBC
236台灣戲劇台,台湾戏剧
237龍華影劇,龙华影剧
238華藝影劇,华艺影剧
23.CCTV-4中文国际-1080P,CCTV4
241龍華動畫,龙华动画
242曼迪日本,曼迪日本
243DREAMWORKS,DREAMWORKS
244BABYFIRST,BABYFIRST
245DAVINCIKIDS,达文西
245靖天卡通,靖天卡通台
246I-FUN動漫,IFUN1
248I-FUN動漫3,IFUN3
249MYKIDS,MYKIDS
24.CCTV-5体育-1080P,CCTV5
250MY101綜合,MY101综合
25.CCTV-5+体育赛事-1080P,CCTV5+
26.CCTV-6电影-1080P,CCTV6
27.CCTV-7国防军事-1080P,CCTV7
